Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,csv_injection,sql_injection,Encrypted_RAM
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,False,False,gAAAAABn_qg3-Xh82S04cYUPod8i5umfeY2WwQKeffgGJWbDY3z7jYrf6kVheUzWv0UYS_4xxaDa3sfEJx5GzOnSU_DAZjx3FQ==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,False,False,gAAAAABn_qg3S3rfCtqgcyV1yZBIRy99Q5Vk5_YEXmp3quFhNv6y6HTfQnr24Qrq8eOGebxokwOSZ9LTp0rl-mu-WJYTJ7Pk7Q==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,False,False,gAAAAABn_qg3Ood0udDZFrK9NYO3kHK9PTuMA_ZXZ_x4Y8itPFs_i9jBE92_bwfgNuX3KIVCiI60YciWiUM2oRir6sJxfFsACA==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,False,False,gAAAAABn_qg3AUEjvmS7JunHNsd53528ey4QiZnhijwxeBLDDwRcv9HIiVQ2kVFw7BTrlIYapms38isBRMqrOi_OArLoqCDhQQ==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,False,False,gAAAAABn_qg3ESM7MQGt-Uj2G7tXcLR6pfFsT5R2_4fFogUcp2lXlKwm2eWcXTa2W800a8kDQs29IVR1uW6OXU_pVutHsVW1Dg==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,False,False,gAAAAABn_qg3iXaT1t2QdjOfu_KDGQ3B7YsEtGLX7ZIfd4GAx9rQvIAVyt55Z6l7CgaKKtLwLX1CjIBX1Y4QC0RIAreGMaY2mQ==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,False,False,gAAAAABn_qg38kMN1zBCw40dlAAlvf8iqJcGkw9mWFJLerBJsyxZRZD6dB5Qj3wUfqnlfUe1ree8bhhKNXltAiBsb2nxSWvI_A==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,False,False,gAAAAABn_qg3a3smmNOsVkN3YL3DrDY0PkmBo6871FexTQUByhEe-72n4rXKYPLqkJTihjANkUj3mUxc8TEYvUcMh43qCEEJ4A==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,False,False,gAAAAABn_qg3yAL7fexbp45rEMo3NwLUIzULxhkzGxCQ344z56cAdLQ9FZaZDEGHSRIkfxhnbrXslZpzSS_05GCczarRcu2N9w==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,False,False,gAAAAABn_qg33448axIf6BzhC6C-dAYXtnATlUWtbV6NBKJvkyEAw9gjJn9E5k21VxGH0ZvgFIqjcWK-MMQLs71xnJb-uaHtzQ==
Asus,3.835917536922537,4,1000,14.295858628880625,3.0923383250314984,31967.607631536364,False,False,gAAAAABn_qg3VmheUYLxkJunge-U6d3pe_mk9TypcUUrA443TiEv8ZCNfKL-EEOxuONTfm5i8WrdzBZwCANAipUSLm8GfBwN9Q==
Lenovo,3.813921282266941,32,512,12.871904121958512,3.6986450472578496,18534.108629919712,False,False,gAAAAABn_qg3xsm7-osylQnrHkIY6gNhYhU2XlFqTpOoj1gpO4FGoeGD_4dHKjEBvolcB4ikEExQvnJAetE-KoRfErJKk_GTvQ==
Acer,2.6270984285103305,8,512,13.895002521412165,2.018772413079411,17495.98363758707,False,False,gAAAAABn_qg3oQWDSR2_C7icrwHE9TDEL9u-7f0NayzrAiLwGrt2IOxGWhbjEFq4YXkFchqvP0qG13qZOr3mcWX9KMaMmMzYag==
HP,1.783095114601888,16,256,14.040035893896476,2.1856571050414257,9731.982415267874,False,False,gAAAAABn_qg35NtbVqSShqPKQNKLzoAzJazzeDOXY9qcQVq3ZkYXpqevttjxURWeI9XE6hzu9_bTTVvY3qV4XCekjCmnHeFYOw==
Asus,3.962102997405837,8,256,13.323423627068577,3.6061038235449536,9831.389961542602,False,False,gAAAAABn_qg3VNsgUvvOwshs6evSSwpA_nXoKhcwKkL8Hj-mHN8pjbLbECIsox2rJconGTX45UhJBdOX1-v1MwRVhlmcO53ULw==
HP,3.5972452161148354,32,256,16.439433264032978,3.698214939344495,11038.928125612205,False,False,gAAAAABn_qg3K2BLRCy2bK1L7a4mwfLM4I0Cmya6pKVk0lL6wwzlbaUjtuiuQvuJ_fjRaFFqCkzK05MCn0GQH4-UkUtJTApIvg==
Asus,1.8116567030081672,16,256,11.096371189886035,4.254358833378031,8971.512504748447,False,False,gAAAAABn_qg3kBUM2hGoavgVXIqnmi4D6afWPp1OvUrtRQUtZ2EWumIet7cwNoeDZVc3M11KbynsjMtynVfccyw1tws7oN4EQw==
Acer,3.802104706543431,32,256,15.693027578547476,2.3958959588718853,10915.05717304083,False,False,gAAAAABn_qg3Uee0nZUToPgg_og7c4jnAU9EP1oQan_D41TLm11hGnu8CGXl7Dr1sWRFioif36cB9YZuqMC2HbTqkY1PRCYJ3w==
Dell,3.674740905155321,16,256,11.746296987447948,3.539549251270336,9637.891638203962,False,False,gAAAAABn_qg31tpiPAFMw864WTRVNH1gDPBQ1ROfIK7rdg5vuUhtQ_8iK3OEwt1nasJwmzHmZzqSfDIAk2EKWAjXuSFF6HvbRA==
Asus,2.79709514281518,16,256,15.785284163223196,2.5833429332950657,9593.110592180388,False,False,gAAAAABn_qg3kLVAUiVfjo3m0bTwg60IZ0oSQs4UWDth-tp-G3z2WTDVc7t51w06sK0bEGcfbjZzdtMS72VJwRtoT5ohxwnzFw==
HP,2.9781885893623232,16,1000,14.695471494060328,2.279588358688084,31965.356609806408,False,False,gAAAAABn_qg3qpROHEhDAvHbuxbs0f2_otZzrrDLJzVw5FqqGIBDpAQwuCL9ld4V9TvTD9mkX5d1eAKSuai5Y-1DNp3LDwJNjw==
Acer,2.4975067596753258,16,1000,16.059668545618415,3.231487382181664,32025.836689022144,False,False,gAAAAABn_qg38k7RmKVvzuegbTHvTWcnfEVqo7DcAfDh23Afi4zA3WGrIMFPIEJwPuQfHlHO1Ta4Jn0c7Xq1kSMB6xR16AB42w==
Asus,1.6369040970550783,32,1000,11.585085953845384,2.490009944267172,32764.274431192796,False,False,gAAAAABn_qg3Cgl1nzDQeDtOg4RTUraIFYn5siGyOqazZbS1eBY-kXd8kushX4CWNBEZXNAZvCO8qqGKVY4mQUQ8Zx5i3jrv8w==
Dell,2.3379931041147524,16,1000,14.353883804598643,2.665345934576956,32114.82080257049,False,False,gAAAAABn_qg3K5_iqZSNE4CMnXCDnH_JvZ15p_24Ads7fpqei2rJSvh9Zwtiei8xqwQd9LEkmiu47KYHWG1ia5V3sPkvQtPQCw==
Dell,3.5071336214950284,16,256,14.006527281573184,2.9526637396085054,9929.514355970863,False,False,gAAAAABn_qg33E5FhENms24r_0yuBu-7xIqr2cqgm6dQrEEn59waqThRP_VICOsAyuQozaQ3qNv5l5U8lytSWpvbGMKgpZrlog==
Lenovo,1.511580057511507,8,1000,15.237159097780152,2.7781652022295886,31623.8142296768,False,False,gAAAAABn_qg3rpctQngqX8FBpYpQsd88SxpAEKnZGVOR32KdKF5G0rRJo5z-VyEo6j9xd9tJNS2nvSntGr8yWVBA-UQeDbpU7A==
Lenovo,2.3337479292278607,4,256,14.205743311362054,2.2627738922178398,9264.933977469056,False,False,gAAAAABn_qg3H1GxpWtq7RsIJqCZUBKJUcZKQgxca41cCm9C8Pv5eLLQoGr6E9Fk88r9vboyGtZ9patz2VF8KxON4ZkeIpK5vQ==
HP,2.4954217339773583,4,1000,14.244407402798624,2.2697487345791068,31549.79984535232,False,False,gAAAAABn_qg3-J0zPl1f-NO_UlS0AtDQRWTTlAmc_-_ZIrSBk0dYiJkenagqc99huec2YRfZTcnMYfu4MrFhq3SmQTPdqU014g==
Asus,2.843489007344808,8,512,13.577575661456388,2.5797482457025045,16729.550875026107,False,False,gAAAAABn_qg3X_swPrha-fDv757js1RF2ce1CYtt6kEbGeQzKgTcicHCqgI0yzxIztY-C3v8c4-704NdH9b_wugo3RZq-hOj3g==
Asus,3.799639041031901,8,1000,12.853006544044046,2.151677563878617,31747.60460557713,False,False,gAAAAABn_qg3fxW5ByMFjCU-xJAz6hmqkgBUZWHXHUhZ5f4QPV3Bd6m8Ec3tasoVAwbQ-EHWT56w-q4HOnS_R2PlhFJy5d3HnQ==
Lenovo,2.3658649859149032,32,1000,13.893586167513153,3.8793710590307815,32817.51657673146,False,False,gAAAAABn_qg3IAy_OUad1fhFHpP2ZYcSEeSpK2Jtk9IbWHHoD5Lhhyrh6bzd_EVPPJ9PyBj54vmyA2D-H0d3vUcAqV67zQU5fw==
Asus,2.367383004740569,32,256,11.710954152610404,2.8619801495267057,10605.76645913327,False,False,gAAAAABn_qg3Jem_16em577yVd1DdGlbruMr572nYuQky8TyoVnvpUdCBc8iM0IcIOl6N14YkFwzbECoAzshFAz-gKdxt2OW-g==
Asus,3.343753120274371,32,1000,16.769080033898508,2.839237903307213,32810.02391415497,False,False,gAAAAABn_qg3VYCFnebddFhJZ2tiZsE6Ght9RIBV2zrnaZ4hUJexEg9fivX8pBHU1lUS6_vJhAZw4lTNxiAo1vm-V3KP6aa4Cg==
Dell,2.630544852224518,8,512,15.286464581759589,2.9959948827132954,17059.609275297906,False,False,gAAAAABn_qg3t4hnpZ0i_Nf0BDmjJS2oSyCKV8oO8QJ_tNZW9lwgLZEOIZesf2JHAlkDnyGoiRxoZhaeG6QI5mK9PLc42NffRw==
Lenovo,2.061512057349955,8,256,16.71480270012708,3.988388822629165,8973.58968596835,False,False,gAAAAABn_qg3hXSJ9Nc50iyoV7IsmKiLtPg_ZuMmZ38yHdHxk-vPYBVBJd4zJxzpvJxFP9AD5gp2UkGYvgCcb8A72rWHtfx1Dw==
Acer,2.6310987903317336,16,256,12.36036429397978,4.611901644450471,9912.491624645294,False,False,gAAAAABn_qg3CoFSchqSIgfWLVKH-1NKOcectaVSc2GFpJlKITf9o5fisrzsiTcfCui2bl8d8mLNUJzMtkt8GLuCWJ_LIf3l9w==
Lenovo,1.8521425509494995,32,1000,16.276046121059167,4.277260797666916,32801.64628030737,False,False,gAAAAABn_qg3vwCo134FGKcgKXSkLC1toRDLYl-J5VO3Eer9j2two3EcW7nDyVLvr54kABSSRnd-nOLSvl4FDVfQSO6Dxhkygw==
Acer,1.9409674662655585,32,256,15.852739907381231,4.182587690675285,10174.195207302795,False,False,gAAAAABn_qg3PxHSTxP2emiX_JY6yjbFrm2Tpr49nkJv1KA_Ppkqvr5Ki9naTZqWpcT9i0tIu9B5L0PpVwAHM2QEJ98IOxbWHQ==
Dell,2.7459194318486992,32,256,15.06291447474604,3.453173556802548,10325.364732735776,False,False,gAAAAABn_qg3Reg6A0DW19F-2RGEbruraK843L0MpK3uKQmFP6CnAn85Lg_7kv5Am1Sme5nD87CinwjS0V3sCnOIUWymfhmYHg==
HP,2.5473136237613696,4,256,14.750175116511237,4.081416670902235,9221.138434690329,False,False,gAAAAABn_qg3BesJA84T7EqwDdDEcGemUGAsJa73i8J9Lgl1chWgrHDpJcWhe-yvThOmlQbO9osPrpz33H4pey-OI0eYGpLFuA==
Asus,3.78711475267025,16,256,12.89929799160722,3.658287104100749,10233.785822237818,False,False,gAAAAABn_qg3pafDWHLqhTEHBTqPMO6U-DJGpXZDZrJC6qYRgpkbHE0tVJJCEk7SHyPGgQ40iERbVAYvnVvtNz6J7-gcbJiZ7w==
Dell,2.4059847477915826,32,256,15.898464709790185,2.648751584559587,10333.321560418655,False,False,gAAAAABn_qg3vHMUC5kTGWkpP_qQ9A-9MwBt8QmRd6U-dzd_Yr9LlhznNjlr9RQ6h7t56dRPjgNtVT0uIKJ4oEb1NjqcYcF-bA==
Asus,2.951470875695109,32,256,14.009092768878403,2.625765103223152,10781.539201207572,False,False,gAAAAABn_qg3GpeVSIbuWgEP_inIIe68TswtCijl3Xe9S494CNJN7qchPy2imL-UjtBwX7HtN1tqWsIgzHyulIX90lSqb5ts5w==
HP,3.080660719798826,32,512,11.425349455347712,2.8891760206258503,18167.2998292549,False,False,gAAAAABn_qg3cmlqoDCe1XVQNhlTjRF7n3HqqZUEB8GhRP7eQb1yoFL5a8HxzaaM9Zy7qOSAjSz40GjVC_d0JFc0Rw_Thw_0Cw==
HP,1.532736141470834,4,1000,12.87717896513078,4.73240801290944,31381.405548006263,False,False,gAAAAABn_qg3BER6RLJTOVVDQdQIeMRJm95pC1qj9-la1i9Te9Z-yQokJWscQrmfYfQ009MPrKsAkEJ9Fl3P0-N0dBmn_KB8gg==
Dell,3.1588434300417765,4,512,16.611782591271965,3.642244521139178,17124.220074695466,False,False,gAAAAABn_qg3cACNNZnQ8o2uR94xiM5OLxAkT3bh-YsyTMe5dRjoVLJdZSltrkL8h9yb4tQUm_RaWYnL7dL1-JJ8D00EeWrk7A==
HP,1.9450899171743783,8,256,16.104081563629077,4.201716131005608,9280.14242169389,False,False,gAAAAABn_qg3DyKDYW-wepiuBG7XBbgpdpprmysv4RL3hvf4jD8DMXabvQcVQOQ-_b--IbI_q1CzSJdYOVbVuub089Nx1rS9QQ==
Acer,3.902675793673638,16,256,16.891434188459236,3.039676279449643,9701.0888184533,False,False,gAAAAABn_qg3J6HyTJkS6Cc2HmcoqZRlSaSGKPQeK9DnvKn9odJf4GySqtKcJA1Nr8hskA6yWl9mObFD6jOe2sPAVw_V0qRTIg==
HP,1.8716568193827825,8,1000,14.767960295624588,3.2231473119956755,31673.696226693915,False,False,gAAAAABn_qg3FUbwWNZyXHQkRBVFtYWDdOkCpNHNrqLf-sLhcF65dirpG9LcKKyQaj6vA7kIs0Qsdajk9jwSeTMe1FS0ZpNU3A==
Asus,2.5365603093175597,16,512,12.485060438842472,2.376696735911754,17493.650157480613,False,False,gAAAAABn_qg3Na7tRFxnkH7ViPRAbdAy7YEwqlPh1Tglibw4XIq2SeEeCM4AEA8ifFPS76p04OCEzVb1sFnWdvwZd-d8_FFPqQ==
Asus,1.7133741701966096,4,1000,11.976890298061182,2.513884873465011,31339.159741904798,False,False,gAAAAABn_qg3yA9RUPRrDHmn1Gh6idZN45y5BVt5Jk97rmf0yLk2tEPf3xvus2cXaD9ThZiY6IvHcXtn0Pzj-Gn2SgNneSOouw==
Asus,3.992185629614868,32,512,12.121486643650767,4.482069664478437,18495.180974797404,False,False,gAAAAABn_qg3si4WZsK2aFa5kX18Q0O5rbN6RW-eIVoZvHHDX7_6vdCQe2e-wK5Opc2jQpN-2eSkwzJgW0Tugre5n7VrT0pbRg==
Asus,2.7554875258281064,8,256,11.118773950083526,3.754515895066646,9140.170447550205,False,False,gAAAAABn_qg358_dqzUrFjt-uiOL3C_qTURImNicgZcU6snb8RjK-BNSkFCMd6dtdMwXghZjoCZ-iYs9dVX4hkLdvIifmjoQJw==
Acer,2.988462543300109,32,1000,13.344092665915635,3.0125973976514566,33151.04094220564,False,False,gAAAAABn_qg3iauRqhZ0PuU-c9-gA8G-kMPC32ozTeAdCM7qHSIgQ37A86XFb4NxMOEh-KFsHwAfVhhU0lENwMWrLLkrNfOyIA==
Lenovo,1.6676911934710688,8,1000,12.148566082997256,4.408553626986638,31612.05196824762,False,False,gAAAAABn_qg3QfAWEY_EdgmF_6Vh7hQolmnEqHemqabQQJwpvyiDMM71pHSK07mrEYMPJi_ow-DF81w9jLHmROPGL6Ug29HoOQ==
Dell,3.3749011759979446,4,256,13.469932762740214,2.739559716913949,9081.898737916325,False,False,gAAAAABn_qg3O9WLsgMd6JmL_MXHZVQ_z9ypIuUu5xM57eaFiCycoQHHAM2UeJ1kgRtfcMT42lAeeSzXpKp38R_psRrOX6_NcQ==
Asus,2.0247639827389645,4,1000,16.60996659103259,4.928098095800611,31650.730149513987,False,False,gAAAAABn_qg3lacq8q3GPSXJgrQzDSUX4Gf5HSQOUtbU_O5KCtS_mAnx8_8f0ilLfJOMg_tJlMLx2dO3WnQ042ODB4kgRhJBFA==
HP,3.745135723601784,4,512,13.58324125704314,3.0344528232385093,17076.68132855591,False,False,gAAAAABn_qg30n2CIya-1TcQZc3-6oilQySUclb3-zu-0-424pKLMJ1uiztWAypgfOYAQcnwNa5ItuY3QnzayS66OoPnY_OvXA==
Asus,2.012849101205018,8,512,16.267906981909007,3.0119328624536825,16983.63602188368,False,False,gAAAAABn_qg3I6hP8pIVDtWDRy2p98QuCg7vKso1RfYzLylVsae_dkFAt75qcNdtz1gmu9PZYhkM9mn5xabMcOV4toQOFgnQ6g==
HP,1.9767193016591664,16,512,14.633028599695258,2.9357357166101155,17283.3760078759,False,False,gAAAAABn_qg3dCRxX6ZhC7AvvNgkrCcNSi2nbTsEPpD1_z-9SSo9-ODDwHnmVpJdWOAEoIVt8YWHhZUFVxQvUbIYh1PI4C1AwQ==
HP,1.5913741696202373,8,512,12.482789327968352,2.366334547772864,16788.668595688672,False,False,gAAAAABn_qg3GpWNUaD8qlCSs0SqUcBYxUiRscHIXla0XLsohr5KRaM71yjLGiUbIh1BqNubDez2FArsgqJY116tJFE0hD4mqw==
Asus,2.680167362774998,16,256,13.13512855555527,2.333411441996037,10029.5817669081,False,False,gAAAAABn_qg3SZa4b27TTQTF-iCv237n_ZKIWFq93YeAQeF-ld_U4FuctvMOa_JOjxTssZHQNmSGal8QxrY4L3XmbdvrnBGy0w==
